FirstName,Region,Ethnicity,pred_1,pred_1_score,pred_2,pred_2_score
masbah,Bangladesh,Muslim,East Asian,0.6,European,0.2
ahn,South Korea,East Asian,East Asian,1.0,N/A,-1.0
arthur,Finland,Nordic,Hispanic,0.5,East Asian,0.2
arthur,Norway,Nordic,Hispanic,0.5,East Asian,0.2
arthur,Belgium,European,Hispanic,0.5,East Asian,0.2
arthur,Brazil,Hispanic,Hispanic,0.5,East Asian,0.2
arthur,Switzerland,European,Hispanic,0.5,East Asian,0.2
arthur,New Zealand,East Asian,Hispanic,0.5,East Asian,0.2
arthur,Trinidad,Hispanic,Hispanic,0.5,East Asian,0.2
arthur,Austria,European,Hispanic,0.5,East Asian,0.2
arthur,Zimbabwe,European,Hispanic,0.5,East Asian,0.2
arthur,India,South Asian,Hispanic,0.5,East Asian,0.2
arthur,Costa Rica,Hispanic,Hispanic,0.5,East Asian,0.2
arthur,Netherlands,European,Hispanic,0.5,East Asian,0.2
arthur,Ireland,Celtic English,Hispanic,0.5,East Asian,0.2
arthur,Luxembourg,European,Hispanic,0.5,East Asian,0.2
arthur,Liechtenstein,European,Hispanic,0.5,East Asian,0.2
arthur,Sweden,Nordic,Hispanic,0.5,East Asian,0.2
arthur,Egypt,Muslim,Hispanic,0.5,East Asian,0.2
arthur,Malta,European,Hispanic,0.5,East Asian,0.2
arthur,Denmark,Nordic,Hispanic,0.5,East Asian,0.2
arthur,South Africa,African,Hispanic,0.5,East Asian,0.2
arthur,Bermuda,European,Hispanic,0.5,East Asian,0.2
arthur,Jamaica,Hispanic,Hispanic,0.5,East Asian,0.2
eugen,Sweden,Nordic,European,0.7,East Asian,0.1
eugen,Romania,European,European,0.7,East Asian,0.1
eugen,Moldova,European,European,0.7,East Asian,0.1
eugen,Liechtenstein,European,European,0.7,East Asian,0.1
eugen,Serbia,European,European,0.7,East Asian,0.1
eugen,Finland,Nordic,European,0.7,East Asian,0.1
eugen,Switzerland,European,European,0.7,East Asian,0.1
eugen,Czech Republic,European,European,0.7,East Asian,0.1
eugen,Norway,Nordic,European,0.7,East Asian,0.1
eugen,Denmark,Nordic,European,0.7,East Asian,0.1
eugen,Austria,European,European,0.7,East Asian,0.1
eugen,Estonia,European,European,0.7,East Asian,0.1
aimo,Finland,Nordic,Nordic,1.0,N/A,-1.0
matti,Finland,Nordic,Nordic,0.9,European,0.1
matti,Denmark,Nordic,Nordic,0.9,European,0.1
matti,Netherlands,European,Nordic,0.9,European,0.1
matti,Sweden,Nordic,Nordic,0.9,European,0.1
pascal,Benin,African,European,0.5,East Asian,0.2
pascal,Monaco,European,European,0.5,East Asian,0.2
pascal,Switzerland,European,European,0.5,East Asian,0.2
pascal,Chile,Hispanic,European,0.5,East Asian,0.2
pascal,Denmark,Nordic,European,0.5,East Asian,0.2
pascal,Tanzania,African,European,0.5,East Asian,0.2
pascal,Cameroon,African,European,0.5,East Asian,0.2
pascal,Sweden,Nordic,European,0.5,East Asian,0.2
pascal,Netherlands,European,European,0.5,East Asian,0.2
seppo,Finland,Nordic,Nordic,0.9,European,0.1
viljo,Finland,Nordic,European,0.5,Nordic,0.5
juha,Finland,Nordic,Nordic,0.9,Hispanic,0.1
juha,Norway,Nordic,Nordic,0.9,Hispanic,0.1
kouame,Togo,African,African,0.9,Muslim,0.1
kouame,Ivory Coast,African,African,0.9,Muslim,0.1
janne,Finland,Nordic,Nordic,0.9,European,0.1
janne,Sweden,Nordic,Nordic,0.9,European,0.1
janne,Denmark,Nordic,Nordic,0.9,European,0.1
leo,Finland,Nordic,African,0.3,European,0.3
leo,Denmark,Nordic,African,0.3,European,0.3
leo,Belgium,European,African,0.3,European,0.3
leo,Kenya,African,African,0.3,European,0.3
leo,San Marino,European,African,0.3,European,0.3
leo,Barbados,Hispanic,African,0.3,European,0.3
leo,Czech Republic,European,African,0.3,European,0.3
leo,Netherlands,European,African,0.3,European,0.3
leo,Austria,European,African,0.3,European,0.3
leo,Philippines,East Asian,African,0.3,European,0.3
leo,India,South Asian,African,0.3,European,0.3
leo,Malta,European,African,0.3,European,0.3
leo,Brazil,Hispanic,African,0.3,European,0.3
leo,Uganda,African,African,0.3,European,0.3
leo,Sweden,Nordic,African,0.3,European,0.3
odile,Benin,African,European,0.6,African,0.4
murielle,Ivory Coast,African,European,0.3,African,0.2
gaby,Namibia,African,European,0.9,African,0.1
guillermo,Peru,Hispanic,Hispanic,0.6,European,0.3
guillermo,Argentina,Hispanic,Hispanic,0.6,European,0.3
guillermo,Mexico,Hispanic,Hispanic,0.6,European,0.3
guillermo,Boliva,Hispanic,Hispanic,0.6,European,0.3
guillermo,Cuba,Hispanic,Hispanic,0.6,European,0.3
guillermo,Panama,Hispanic,Hispanic,0.6,European,0.3
guillermo,Dominican Republic,Hispanic,Hispanic,0.6,European,0.3
guillermo,El Salvador,Hispanic,Hispanic,0.6,European,0.3
guillermo,Suriname,African,Hispanic,0.6,European,0.3
guillermo,Uruguay,Hispanic,Hispanic,0.6,European,0.3
guillermo,Curacao,Hispanic,Hispanic,0.6,European,0.3
guillermo,Puerto Rico,Hispanic,Hispanic,0.6,European,0.3
guillermo,Venezuela,Hispanic,Hispanic,0.6,European,0.3
guillermo,Chile,Hispanic,Hispanic,0.6,European,0.3
guillermo,Colombia,Hispanic,Hispanic,0.6,European,0.3
marlene,Chile,Hispanic,Hispanic,0.4,European,0.3
marlene,Mexico,Hispanic,Hispanic,0.4,European,0.3
marlene,Cuba,Hispanic,Hispanic,0.4,European,0.3
marlene,Brazil,Hispanic,Hispanic,0.4,European,0.3
marlene,Austria,European,Hispanic,0.4,European,0.3
marlene,Jamaica,Hispanic,Hispanic,0.4,European,0.3
marlene,Denmark,Nordic,Hispanic,0.4,European,0.3
marlene,Netherlands,European,Hispanic,0.4,European,0.3
mustafa,Libya,Muslim,Muslim,0.7,African,0.2
mustafa,Qatar,Muslim,Muslim,0.7,African,0.2
mustafa,Turkey,Muslim,Muslim,0.7,African,0.2
mustafa,Serbia,European,Muslim,0.7,African,0.2
mustafa,Uganda,African,Muslim,0.7,African,0.2
mustafa,Iraq,Muslim,Muslim,0.7,African,0.2
herminio,Mexico,Hispanic,Hispanic,0.8,African,0.2
herminio,Peru,Hispanic,Hispanic,0.8,African,0.2
herminio,Panama,Hispanic,Hispanic,0.8,African,0.2
ren,Mexico,Hispanic,East Asian,0.6,European,0.2
ren,Philippines,East Asian,East Asian,0.6,European,0.2
ren,Luxembourg,European,East Asian,0.6,European,0.2
ren,Czech Republic,European,East Asian,0.6,European,0.2
ren,Switzerland,European,East Asian,0.6,European,0.2
ren,Cuba,Hispanic,East Asian,0.6,European,0.2
ren,Monaco,European,East Asian,0.6,European,0.2
ren,Belgium,European,East Asian,0.6,European,0.2
ren,Puerto Rico,Hispanic,East Asian,0.6,European,0.2
ren,Uruguay,Hispanic,East Asian,0.6,European,0.2
ren,Boliva,Hispanic,East Asian,0.6,European,0.2
ren,Ivory Coast,African,East Asian,0.6,European,0.2
ren,Denmark,Nordic,East Asian,0.6,European,0.2
ren,Austria,European,East Asian,0.6,European,0.2
ren,Japan,East Asian,East Asian,0.6,European,0.2
ren,South Africa,African,East Asian,0.6,European,0.2
ren,Netherlands,European,East Asian,0.6,European,0.2
ren,Colombia,Hispanic,East Asian,0.6,European,0.2
ren,El Salvador,Hispanic,East Asian,0.6,European,0.2
ren,Republic of Congo,African,East Asian,0.6,European,0.2
ren,Guatemala,Hispanic,East Asian,0.6,European,0.2
ren,Finland,Nordic,East Asian,0.6,European,0.2
ren,Slovakia,European,East Asian,0.6,European,0.2
ren,China,East Asian,East Asian,0.6,European,0.2
ren,Nicaragua,Hispanic,East Asian,0.6,European,0.2
ren,Ukraine,European,East Asian,0.6,European,0.2
ren,Chile,Hispanic,East Asian,0.6,European,0.2
johannes,Estonia,European,European,0.5,Hispanic,0.2
johannes,Norway,Nordic,European,0.5,Hispanic,0.2
johannes,Netherlands,European,European,0.5,Hispanic,0.2
johannes,South Africa,African,European,0.5,Hispanic,0.2
johannes,Switzerland,European,European,0.5,Hispanic,0.2
johannes,Denmark,Nordic,European,0.5,Hispanic,0.2
johannes,Belgium,European,European,0.5,Hispanic,0.2
johannes,Austria,European,European,0.5,Hispanic,0.2
johannes,Indonesia,East Asian,European,0.5,Hispanic,0.2
johannes,Namibia,African,European,0.5,Hispanic,0.2
johannes,Finland,Nordic,European,0.5,Hispanic,0.2
johannes,Russia,European,European,0.5,Hispanic,0.2
johannes,Zimbabwe,European,European,0.5,Hispanic,0.2
johannes,Sweden,Nordic,European,0.5,Hispanic,0.2
johannes,Liechtenstein,European,European,0.5,Hispanic,0.2
ai,China,East Asian,East Asian,0.8,African,0.1
ai,Japan,East Asian,East Asian,0.8,African,0.1
hideaki,Japan,East Asian,East Asian,1.0,N/A,-1.0
chrif,Mauritania,Muslim,Muslim,0.7,European,0.2
aleksis,Russia,European,European,0.8,South Asian,0.2
neringa,Lithuania,European,European,1.0,N/A,-1.0
franz,Austria,European,European,0.6,Nordic,0.3
franz,Liechtenstein,European,European,0.6,Nordic,0.3
franz,Switzerland,European,European,0.6,Nordic,0.3
franz,Luxembourg,European,European,0.6,Nordic,0.3
franz,Czech Republic,European,European,0.6,Nordic,0.3
franz,Belgium,European,European,0.6,Nordic,0.3
franz,Denmark,Nordic,European,0.6,Nordic,0.3
ingeborg,Austria,European,Nordic,0.5,European,0.5
ingeborg,Denmark,Nordic,Nordic,0.5,European,0.5
ingeborg,Norway,Nordic,Nordic,0.5,European,0.5
ingeborg,Belgium,European,Nordic,0.5,European,0.5
ingeborg,Argentina,Hispanic,Nordic,0.5,European,0.5
ingeborg,Switzerland,European,Nordic,0.5,European,0.5
ingeborg,Sweden,Nordic,Nordic,0.5,European,0.5
nobuyuki,Japan,East Asian,East Asian,1.0,N/A,-1.0
yutaka,Japan,East Asian,East Asian,1.0,N/A,-1.0
ryoji,Japan,East Asian,East Asian,1.0,N/A,-1.0
ambrosio,Argentina,Hispanic,Hispanic,0.5,European,0.3
ambrosio,Philippines,East Asian,Hispanic,0.5,European,0.3
ambrosio,Venezuela,Hispanic,Hispanic,0.5,European,0.3
mongkol,Thailand,East Asian,East Asian,1.0,N/A,-1.0
ian,South Africa,African,Hispanic,0.4,East Asian,0.2
ian,New Zealand,East Asian,Hispanic,0.4,East Asian,0.2
ian,Brazil,Hispanic,Hispanic,0.4,East Asian,0.2
ian,Belize,Hispanic,Hispanic,0.4,East Asian,0.2
ian,Ireland,Celtic English,Hispanic,0.4,East Asian,0.2
ian,Philippines,East Asian,Hispanic,0.4,East Asian,0.2
ian,Zimbabwe,European,Hispanic,0.4,East Asian,0.2
ian,Zambia,African,Hispanic,0.4,East Asian,0.2
ian,Trinidad,Hispanic,Hispanic,0.4,East Asian,0.2
ian,Bermuda,European,Hispanic,0.4,East Asian,0.2
