FirstName,Region,Ethnicity,pred_1,pred_1_score,pred_2,pred_2_score
gunnar,Denmark,Nordic,Nordic,0.6,European,0.2
gunnar,Sweden,Nordic,Nordic,0.6,European,0.2
gunnar,Norway,Nordic,Nordic,0.6,European,0.2
gunnar,Iceland,European,Nordic,0.6,European,0.2
gunnar,Finland,Nordic,Nordic,0.6,European,0.2
gunnar,Brazil,Hispanic,Nordic,0.6,European,0.2
edgar,Denmark,Nordic,Hispanic,0.5,European,0.4
edgar,Paraguay,Hispanic,Hispanic,0.5,European,0.4
edgar,Guatemala,Hispanic,Hispanic,0.5,European,0.4
edgar,Philippines,East Asian,Hispanic,0.5,European,0.4
edgar,Norway,Nordic,Hispanic,0.5,European,0.4
edgar,Switzerland,European,Hispanic,0.5,European,0.4
edgar,Mexico,Hispanic,Hispanic,0.5,European,0.4
edgar,Boliva,Hispanic,Hispanic,0.5,European,0.4
edgar,Venezuela,Hispanic,Hispanic,0.5,European,0.4
edgar,Nicaragua,Hispanic,Hispanic,0.5,European,0.4
edgar,Panama,Hispanic,Hispanic,0.5,European,0.4
edgar,Belgium,European,Hispanic,0.5,European,0.4
edgar,South Africa,African,Hispanic,0.5,European,0.4
edgar,Puerto Rico,Hispanic,Hispanic,0.5,European,0.4
edgar,Brazil,Hispanic,Hispanic,0.5,European,0.4
edgar,Kenya,African,Hispanic,0.5,European,0.4
edgar,Armenia,European,Hispanic,0.5,European,0.4
edgar,Finland,Nordic,Hispanic,0.5,European,0.4
edgar,Portugal,European,Hispanic,0.5,European,0.4
edgar,Uganda,African,Hispanic,0.5,European,0.4
edgar,Mozambique,African,Hispanic,0.5,European,0.4
edgar,Guam,Hispanic,Hispanic,0.5,European,0.4
edgar,Poland,European,Hispanic,0.5,European,0.4
edgar,Estonia,European,Hispanic,0.5,European,0.4
christine,Netherlands,European,European,0.5,Hispanic,0.2
christine,Bahamas,Hispanic,European,0.5,Hispanic,0.2
christine,New Zealand,East Asian,European,0.5,Hispanic,0.2
christine,Mauritius,Muslim,European,0.5,Hispanic,0.2
christine,Sweden,Nordic,European,0.5,Hispanic,0.2
christine,Botswana,African,European,0.5,Hispanic,0.2
christine,Austria,European,European,0.5,Hispanic,0.2
christine,Jamaica,Hispanic,European,0.5,Hispanic,0.2
christine,Ireland,Celtic English,European,0.5,Hispanic,0.2
christine,Philippines,East Asian,European,0.5,Hispanic,0.2
christine,Norway,Nordic,European,0.5,Hispanic,0.2
christine,South Africa,African,European,0.5,Hispanic,0.2
christine,Luxembourg,European,European,0.5,Hispanic,0.2
christine,Cameroon,African,European,0.5,Hispanic,0.2
christine,Switzerland,European,European,0.5,Hispanic,0.2
christine,Sri Lanka,South Asian,European,0.5,Hispanic,0.2
christine,Rwanda,African,European,0.5,Hispanic,0.2
christine,Bermuda,European,European,0.5,Hispanic,0.2
christine,Zimbabwe,European,European,0.5,Hispanic,0.2
cornelia,Netherlands,European,European,0.3,Hispanic,0.2
cornelia,Switzerland,European,European,0.3,Hispanic,0.2
cornelia,Austria,European,European,0.3,Hispanic,0.2
cornelia,Romania,European,European,0.3,Hispanic,0.2
cornelia,Aruba,Hispanic,European,0.3,Hispanic,0.2
cornelia,Croatia,European,European,0.3,Hispanic,0.2
antti,Finland,Nordic,Nordic,0.9,European,0.1
einar,Finland,Nordic,Nordic,1.0,N/A,-1.0
einar,Norway,Nordic,Nordic,1.0,N/A,-1.0
einar,Denmark,Nordic,Nordic,1.0,N/A,-1.0
einar,Sweden,Nordic,Nordic,1.0,N/A,-1.0
einar,Iceland,European,Nordic,1.0,N/A,-1.0
jorma,Finland,Nordic,Nordic,0.8,Hispanic,0.1
jyri,Finland,Nordic,Nordic,0.9,European,0.1
minna,Finland,Nordic,Nordic,0.8,Hispanic,0.1
minna,Norway,Nordic,Nordic,0.8,Hispanic,0.1
pirjo,Finland,Nordic,Nordic,1.0,N/A,-1.0
arvo,Finland,Nordic,European,0.8,Nordic,0.2
arvo,Denmark,Nordic,European,0.8,Nordic,0.2
juhamatti,Finland,Nordic,Nordic,1.0,N/A,-1.0
paavo,Finland,Nordic,Nordic,0.8,European,0.2
timo,Finland,Nordic,Nordic,0.7,African,0.2
timo,Estonia,European,Nordic,0.7,African,0.2
win,Finland,Nordic,East Asian,1.0,N/A,-1.0
win,Myanmar,East Asian,East Asian,1.0,N/A,-1.0
kjetil,Norway,Nordic,Nordic,1.0,N/A,-1.0
ragnhild,Norway,Nordic,Nordic,0.9,European,0.1
ragnhild,Denmark,Nordic,Nordic,0.9,European,0.1
andreea,Romania,European,European,0.8,Greek,0.2
fritz,Norway,Nordic,European,0.6,Hispanic,0.2
fritz,Sweden,Nordic,European,0.6,Hispanic,0.2
fritz,Switzerland,European,European,0.6,Hispanic,0.2
fritz,Denmark,Nordic,European,0.6,Hispanic,0.2
fritz,Belgium,European,European,0.6,Hispanic,0.2
fritz,Austria,European,European,0.6,Hispanic,0.2
fritz,Liechtenstein,European,European,0.6,Hispanic,0.2
fritz,Haiti,Hispanic,European,0.6,Hispanic,0.2
nils,Norway,Nordic,European,0.5,Nordic,0.3
nils,Sweden,Nordic,European,0.5,Nordic,0.3
nils,Jamaica,Hispanic,European,0.5,Nordic,0.3
nils,Denmark,Nordic,European,0.5,Nordic,0.3
nils,Finland,Nordic,European,0.5,Nordic,0.3
nils,Philippines,East Asian,European,0.5,Nordic,0.3
nils,Belgium,European,European,0.5,Nordic,0.3
nils,Switzerland,European,European,0.5,Nordic,0.3
nils,Chile,Hispanic,European,0.5,Nordic,0.3
nils,Netherlands,European,European,0.5,Nordic,0.3
alf,Norway,Nordic,Nordic,0.8,European,0.2
alf,Sweden,Nordic,Nordic,0.8,European,0.2
alf,Denmark,Nordic,Nordic,0.8,European,0.2
alf,Finland,Nordic,Nordic,0.8,European,0.2
agnes,Norway,Nordic,African,0.4,European,0.3
agnes,Netherlands,European,African,0.4,European,0.3
agnes,Malawi,African,African,0.4,European,0.3
agnes,Belgium,European,African,0.4,European,0.3
agnes,Grenada,Hispanic,African,0.4,European,0.3
agnes,Nigeria,African,African,0.4,European,0.3
agnes,Namibia,African,African,0.4,European,0.3
johan,Netherlands,European,European,0.5,Hispanic,0.3
johan,Sweden,Nordic,European,0.5,Hispanic,0.3
johan,Denmark,Nordic,European,0.5,Hispanic,0.3
johan,Norway,Nordic,European,0.5,Hispanic,0.3
johan,Belgium,European,European,0.5,Hispanic,0.3
johan,Colombia,Hispanic,European,0.5,Hispanic,0.3
johan,South Africa,African,European,0.5,Hispanic,0.3
johan,Zimbabwe,European,European,0.5,Hispanic,0.3
johan,Finland,Nordic,European,0.5,Hispanic,0.3
johan,Russia,European,European,0.5,Hispanic,0.3
johan,Czech Republic,European,European,0.5,Hispanic,0.3
johan,Estonia,European,European,0.5,Hispanic,0.3
willemien,Netherlands,European,European,1.0,N/A,-1.0
pepijn,Netherlands,European,European,0.4,East Asian,0.3
evald,Estonia,European,European,0.7,Nordic,0.3
olav,Norway,Nordic,Nordic,0.8,European,0.2
mika,Finland,Nordic,East Asian,0.5,European,0.2
mika,Sweden,Nordic,East Asian,0.5,European,0.2
mika,Japan,East Asian,East Asian,0.5,European,0.2
dagfinn,Norway,Nordic,Nordic,1.0,N/A,-1.0
stefan,Netherlands,European,European,0.5,Nordic,0.3
stefan,Bulgaria,European,European,0.5,Nordic,0.3
stefan,Poland,European,European,0.5,Nordic,0.3
stefan,Switzerland,European,European,0.5,Nordic,0.3
stefan,Cayman Islands,Hispanic,European,0.5,Nordic,0.3
stefan,Serbia,European,European,0.5,Nordic,0.3
stefan,South Africa,African,European,0.5,Nordic,0.3
stefan,Austria,European,European,0.5,Nordic,0.3
stefan,Sweden,Nordic,European,0.5,Nordic,0.3
stefan,Belgium,European,European,0.5,Nordic,0.3
stefan,Denmark,Nordic,European,0.5,Nordic,0.3
stefan,Russia,European,European,0.5,Nordic,0.3
stefan,Republic of Congo,African,European,0.5,Nordic,0.3
ann,Norway,Nordic,European,0.6,Hispanic,0.2
ann,Sweden,Nordic,European,0.6,Hispanic,0.2
ann,New Zealand,East Asian,European,0.6,Hispanic,0.2
ann,South Africa,African,European,0.6,Hispanic,0.2
ann,Belgium,European,European,0.6,Hispanic,0.2
ann,Mexico,Hispanic,European,0.6,Hispanic,0.2
ann,Denmark,Nordic,European,0.6,Hispanic,0.2
ann,Puerto Rico,Hispanic,European,0.6,Hispanic,0.2
ann,Ireland,Celtic English,European,0.6,Hispanic,0.2
ann,Papua New Guinea,African,European,0.6,Hispanic,0.2
karl,Norway,Nordic,European,0.6,Nordic,0.2
karl,Finland,Nordic,European,0.6,Nordic,0.2
karl,Sweden,Nordic,European,0.6,Nordic,0.2
karl,Austria,European,European,0.6,Nordic,0.2
karl,Denmark,Nordic,European,0.6,Nordic,0.2
karl,Switzerland,European,European,0.6,Nordic,0.2
karl,Romania,European,European,0.6,Nordic,0.2
karl,Antigua,Hispanic,European,0.6,Nordic,0.2
karl,Estonia,European,European,0.6,Nordic,0.2
karl,Czech Republic,European,European,0.6,Nordic,0.2
karl,Russia,European,European,0.6,Nordic,0.2
karl,Jamaica,Hispanic,European,0.6,Nordic,0.2
karl,South Africa,African,European,0.6,Nordic,0.2
karl,Iceland,European,European,0.6,Nordic,0.2
lars,Norway,Nordic,European,0.8,Hispanic,0.1
lars,Sweden,Nordic,European,0.8,Hispanic,0.1
lars,Denmark,Nordic,European,0.8,Hispanic,0.1
lars,Brazil,Hispanic,European,0.8,Hispanic,0.1
lars,Netherlands,European,European,0.8,Hispanic,0.1
lars,Finland,Nordic,European,0.8,Hispanic,0.1
lars,Switzerland,European,European,0.8,Hispanic,0.1
roald,Norway,Nordic,Nordic,0.8,European,0.1
roald,Netherlands,European,Nordic,0.8,European,0.1
rolf,Norway,Nordic,European,0.4,Nordic,0.4
rolf,Finland,Nordic,European,0.4,Nordic,0.4
rolf,Sweden,Nordic,European,0.4,Nordic,0.4
rolf,Switzerland,European,European,0.4,Nordic,0.4
rolf,Brazil,Hispanic,European,0.4,Nordic,0.4
rolf,Chile,Hispanic,European,0.4,Nordic,0.4
rolf,Austria,European,European,0.4,Nordic,0.4
rolf,Israel,Jewish,European,0.4,Nordic,0.4
rolf,Denmark,Nordic,European,0.4,Nordic,0.4
rolf,South Africa,African,European,0.4,Nordic,0.4
thomas,Norway,Nordic,East Asian,0.4,European,0.4
thomas,Sweden,Nordic,East Asian,0.4,European,0.4
thomas,Denmark,Nordic,East Asian,0.4,European,0.4
thomas,Madagascar,African,East Asian,0.4,European,0.4
thomas,New Zealand,East Asian,East Asian,0.4,European,0.4
thomas,Ghana,African,East Asian,0.4,European,0.4
thomas,Uganda,African,East Asian,0.4,European,0.4
thomas,Austria,European,East Asian,0.4,European,0.4
thomas,Ireland,Celtic English,East Asian,0.4,European,0.4
thomas,Liechtenstein,European,East Asian,0.4,European,0.4
thomas,Argentina,Hispanic,East Asian,0.4,European,0.4
thomas,Greece,Greek,East Asian,0.4,European,0.4
thomas,Netherlands,European,East Asian,0.4,European,0.4
thomas,Switzerland,European,East Asian,0.4,European,0.4
thomas,Chile,Hispanic,East Asian,0.4,European,0.4
thomas,Belgium,European,East Asian,0.4,European,0.4
thomas,Zambia,African,East Asian,0.4,European,0.4
thomas,Saint Vincent,Hispanic,East Asian,0.4,European,0.4
thomas,Cameroon,African,East Asian,0.4,European,0.4
thomas,Sierra Leone,African,East Asian,0.4,European,0.4
thomas,Liberia,African,East Asian,0.4,European,0.4
thomas,South Africa,African,East Asian,0.4,European,0.4
thomas,Brazil,Hispanic,East Asian,0.4,European,0.4
thomas,Finland,Nordic,East Asian,0.4,European,0.4
thomas,Malaysia,East Asian,East Asian,0.4,European,0.4
thomas,Croatia,European,East Asian,0.4,European,0.4
thomas,Kenya,African,East Asian,0.4,European,0.4
thomas,Bahamas,Hispanic,East Asian,0.4,European,0.4
thomas,Nigeria,African,East Asian,0.4,European,0.4
thomas,Luxembourg,European,East Asian,0.4,European,0.4
thomas,Fiji,East Asian,East Asian,0.4,European,0.4
thomas,Puerto Rico,Hispanic,East Asian,0.4,European,0.4
morten,Norway,Nordic,Nordic,0.4,European,0.4
morten,Denmark,Nordic,Nordic,0.4,European,0.4
meelis,Estonia,European,Nordic,0.5,European,0.5
hakon,Norway,Nordic,Nordic,0.8,European,0.2
hakon,Sweden,Nordic,Nordic,0.8,European,0.2
hans,Norway,Nordic,European,0.5,Hispanic,0.3
hans,Switzerland,European,European,0.5,Hispanic,0.3
hans,Sweden,Nordic,European,0.5,Hispanic,0.3
hans,Denmark,Nordic,European,0.5,Hispanic,0.3
hans,New Zealand,East Asian,European,0.5,Hispanic,0.3
hans,Austria,European,European,0.5,Hispanic,0.3
hans,Netherlands,European,European,0.5,Hispanic,0.3
hans,Liechtenstein,European,European,0.5,Hispanic,0.3
hans,Finland,Nordic,European,0.5,Hispanic,0.3
hans,Brazil,Hispanic,European,0.5,Hispanic,0.3
hans,Romania,European,European,0.5,Hispanic,0.3
hans,Tonga,East Asian,European,0.5,Hispanic,0.3
hans,Chile,Hispanic,European,0.5,Hispanic,0.3
hans,Czech Republic,European,European,0.5,Hispanic,0.3
hans,Serbia,European,European,0.5,Hispanic,0.3
hans,Belgium,European,European,0.5,Hispanic,0.3
erling,Norway,Nordic,Nordic,0.9,European,0.1
erling,Denmark,Nordic,Nordic,0.9,European,0.1
erling,Sweden,Nordic,Nordic,0.9,European,0.1
abdelhak,Morocco,Muslim,Muslim,1.0,N/A,-1.0
abdelhak,Algeria,Muslim,Muslim,1.0,N/A,-1.0
moonika,Estonia,European,Nordic,0.5,European,0.4
arvi,Estonia,European,European,0.7,Nordic,0.2
arvi,Finland,Nordic,European,0.7,Nordic,0.2
talaat,Egypt,Muslim,Muslim,1.0,N/A,-1.0
mohamed,Iran,Muslim,Hispanic,0.3,Muslim,0.2
mohamed,Sudan,Muslim,Hispanic,0.3,Muslim,0.2
mohamed,Egypt,Muslim,Hispanic,0.3,Muslim,0.2
mohamed,Syria,Muslim,Hispanic,0.3,Muslim,0.2
mohamed,Tunisia,Muslim,Hispanic,0.3,Muslim,0.2
mohamed,Malaysia,East Asian,Hispanic,0.3,Muslim,0.2
mohamed,Saudi Arabia,Muslim,Hispanic,0.3,Muslim,0.2
mohamed,Bahrain,Muslim,Hispanic,0.3,Muslim,0.2
mohamed,Iraq,Muslim,Hispanic,0.3,Muslim,0.2
mohamed,Kuwait,Muslim,Hispanic,0.3,Muslim,0.2
mohamed,United Arab Emirates,Muslim,Hispanic,0.3,Muslim,0.2
mohamed,Morocco,Muslim,Hispanic,0.3,Muslim,0.2
mohamed,Somalia,Muslim,Hispanic,0.3,Muslim,0.2
mohamed,Bangladesh,Muslim,Hispanic,0.3,Muslim,0.2
mohamed,Algeria,Muslim,Hispanic,0.3,Muslim,0.2
mohamed,Lebanon,Muslim,Hispanic,0.3,Muslim,0.2
mohamed,Qatar,Muslim,Hispanic,0.3,Muslim,0.2
mohamed,Jordan,Muslim,Hispanic,0.3,Muslim,0.2
mohamed,Oman,Muslim,Hispanic,0.3,Muslim,0.2
mohamed,Yemen,Muslim,Hispanic,0.3,Muslim,0.2
mohamed,Niger,African,Hispanic,0.3,Muslim,0.2
mohamed,Maldives,Muslim,Hispanic,0.3,Muslim,0.2
mohamed,Comoros,African,Hispanic,0.3,Muslim,0.2
mohamed,Pakistan,Muslim,Hispanic,0.3,Muslim,0.2
mohamed,Sierra Leone,African,Hispanic,0.3,Muslim,0.2
mohamed,Libya,Muslim,Hispanic,0.3,Muslim,0.2
mohamed,Turkey,Muslim,Hispanic,0.3,Muslim,0.2
mohamed,Mali,African,Hispanic,0.3,Muslim,0.2
mohamed,Guinea,African,Hispanic,0.3,Muslim,0.2
mohamed,Senegal,African,Hispanic,0.3,Muslim,0.2
mohamed,Tanzania,African,Hispanic,0.3,Muslim,0.2
mohamed,Ghana,African,Hispanic,0.3,Muslim,0.2
mohamed,Brunei,East Asian,Hispanic,0.3,Muslim,0.2
mohamed,Djibouti,African,Hispanic,0.3,Muslim,0.2
mohamed,Ethiopia,African,Hispanic,0.3,Muslim,0.2
mohamed,Suriname,African,Hispanic,0.3,Muslim,0.2
mohamed,Kenya,African,Hispanic,0.3,Muslim,0.2
mohamed,Uganda,African,Hispanic,0.3,Muslim,0.2
mohamed,Indonesia,East Asian,Hispanic,0.3,Muslim,0.2
mohamed,Mauritania,Muslim,Hispanic,0.3,Muslim,0.2
mohamed,Democratic Republic of the Congo,African,Hispanic,0.3,Muslim,0.2
borislav,Bulgaria,European,European,0.9,Nordic,0.1
borislav,Serbia,European,European,0.9,Nordic,0.1
georgi,Bulgaria,European,European,0.9,East Asian,0.1
georgi,Georgia,European,European,0.9,East Asian,0.1
georgi,Russia,European,European,0.9,East Asian,0.1
ivan,Bulgaria,European,European,0.4,Hispanic,0.3
ivan,Russia,European,European,0.4,Hispanic,0.3
ivan,Serbia,European,European,0.4,Hispanic,0.3
ivan,New Zealand,East Asian,European,0.4,Hispanic,0.3
ivan,Ukraine,European,European,0.4,Hispanic,0.3
ivan,Kazakhstan,Muslim,European,0.4,Hispanic,0.3
ivan,Slovakia,European,European,0.4,Hispanic,0.3
ivan,Sierra Leone,African,European,0.4,Hispanic,0.3
ivan,Argentina,Hispanic,European,0.4,Hispanic,0.3
ivan,Romania,European,European,0.4,Hispanic,0.3
ivan,Kyrgyzstan,Muslim,European,0.4,Hispanic,0.3
ivan,Czech Republic,European,European,0.4,Hispanic,0.3
ivan,Croatia,European,European,0.4,Hispanic,0.3
ivan,Uzbekistan,Muslim,European,0.4,Hispanic,0.3
ivan,South Africa,African,European,0.4,Hispanic,0.3
ivan,Ecuador,Hispanic,European,0.4,Hispanic,0.3
ivan,Norway,Nordic,European,0.4,Hispanic,0.3
ivan,Colombia,Hispanic,European,0.4,Hispanic,0.3
ivan,Brazil,Hispanic,European,0.4,Hispanic,0.3
ivan,Belarus,European,European,0.4,Hispanic,0.3
ivan,India,South Asian,European,0.4,Hispanic,0.3
ivan,Saint Lucia,Hispanic,European,0.4,Hispanic,0.3
ivan,Switzerland,European,European,0.4,Hispanic,0.3
ivan,Denmark,Nordic,European,0.4,Hispanic,0.3
ivan,Sweden,Nordic,European,0.4,Hispanic,0.3
ivan,Moldova,European,European,0.4,Hispanic,0.3
ivan,United Arab Emirates,Muslim,European,0.4,Hispanic,0.3
ivan,Seychelles,Muslim,European,0.4,Hispanic,0.3
ivan,Slovenia,European,European,0.4,Hispanic,0.3
ivan,Peru,Hispanic,European,0.4,Hispanic,0.3
ivan,Papua New Guinea,African,European,0.4,Hispanic,0.3
mikhail,Bulgaria,European,European,0.5,Hispanic,0.2
mikhail,Russia,European,European,0.5,Hispanic,0.2
mikhail,Greece,Greek,European,0.5,Hispanic,0.2
mikhail,Belarus,European,European,0.5,Hispanic,0.2
mikhail,Kazakhstan,Muslim,European,0.5,Hispanic,0.2
mikhail,Austria,European,European,0.5,Hispanic,0.2
mikhail,New Zealand,East Asian,European,0.5,Hispanic,0.2
mikhail,Uzbekistan,Muslim,European,0.5,Hispanic,0.2
patimat,Azerbaijan,Muslim,Muslim,0.6,European,0.4
mariya,Russia,European,European,0.6,Muslim,0.3
mariya,Ukraine,European,European,0.6,Muslim,0.3
mariya,Belarus,European,European,0.6,Muslim,0.3
mariya,Uzbekistan,Muslim,European,0.6,Muslim,0.3
mariya,Bulgaria,European,European,0.6,Muslim,0.3
mariya,Kazakhstan,Muslim,European,0.6,Muslim,0.3
mariya,Kyrgyzstan,Muslim,European,0.6,Muslim,0.3
mariya,Azerbaijan,Muslim,European,0.6,Muslim,0.3
pablo,Argentina,Hispanic,Hispanic,0.4,European,0.2
pablo,Puerto Rico,Hispanic,Hispanic,0.4,European,0.2
pablo,Uruguay,Hispanic,Hispanic,0.4,European,0.2
pablo,Peru,Hispanic,Hispanic,0.4,European,0.2
pablo,Honduras,Hispanic,Hispanic,0.4,European,0.2
pablo,Venezuela,Hispanic,Hispanic,0.4,European,0.2
pablo,Switzerland,European,Hispanic,0.4,European,0.2
pablo,Costa Rica,Hispanic,Hispanic,0.4,European,0.2
pablo,Ecuador,Hispanic,Hispanic,0.4,European,0.2
pablo,Mexico,Hispanic,Hispanic,0.4,European,0.2
pablo,Chile,Hispanic,Hispanic,0.4,European,0.2
pablo,Cuba,Hispanic,Hispanic,0.4,European,0.2
pablo,Paraguay,Hispanic,Hispanic,0.4,European,0.2
pablo,Sweden,Nordic,Hispanic,0.4,European,0.2
pablo,Colombia,Hispanic,Hispanic,0.4,European,0.2
pablo,Panama,Hispanic,Hispanic,0.4,European,0.2
pablo,Jamaica,Hispanic,Hispanic,0.4,European,0.2
pablo,Guatemala,Hispanic,Hispanic,0.4,European,0.2
pablo,Philippines,East Asian,Hispanic,0.4,European,0.2
jess,Cuba,Hispanic,Hispanic,0.5,European,0.2
jess,Mexico,Hispanic,Hispanic,0.5,European,0.2
jess,Argentina,Hispanic,Hispanic,0.5,European,0.2
jess,Venezuela,Hispanic,Hispanic,0.5,European,0.2
jess,Chile,Hispanic,Hispanic,0.5,European,0.2
jess,Brazil,Hispanic,Hispanic,0.5,European,0.2
jess,Puerto Rico,Hispanic,Hispanic,0.5,European,0.2
jess,Philippines,East Asian,Hispanic,0.5,European,0.2
jess,Colombia,Hispanic,Hispanic,0.5,European,0.2
jess,Uruguay,Hispanic,Hispanic,0.5,European,0.2
jess,Dominican Republic,Hispanic,Hispanic,0.5,European,0.2
