FirstName,Region,Ethnicity,pred_1,pred_1_score,pred_2,pred_2_score
gunnar,Denmark,Nordic,Nordic,0.4,European,0.3
gunnar,Sweden,Nordic,Nordic,0.4,European,0.3
gunnar,Norway,Nordic,Nordic,0.4,European,0.3
gunnar,Iceland,European,Nordic,0.4,European,0.3
gunnar,Finland,Nordic,Nordic,0.4,European,0.3
gunnar,Brazil,Hispanic,Nordic,0.4,European,0.3
edgar,Denmark,Nordic,Hispanic,0.6,European,0.3
edgar,Paraguay,Hispanic,Hispanic,0.6,European,0.3
edgar,Guatemala,Hispanic,Hispanic,0.6,European,0.3
edgar,Philippines,East Asian,Hispanic,0.6,European,0.3
edgar,Norway,Nordic,Hispanic,0.6,European,0.3
edgar,Switzerland,European,Hispanic,0.6,European,0.3
edgar,Mexico,Hispanic,Hispanic,0.6,European,0.3
edgar,Boliva,Hispanic,Hispanic,0.6,European,0.3
edgar,Venezuela,Hispanic,Hispanic,0.6,European,0.3
edgar,Nicaragua,Hispanic,Hispanic,0.6,European,0.3
edgar,Panama,Hispanic,Hispanic,0.6,European,0.3
edgar,Belgium,European,Hispanic,0.6,European,0.3
edgar,South Africa,African,Hispanic,0.6,European,0.3
edgar,Puerto Rico,Hispanic,Hispanic,0.6,European,0.3
edgar,Brazil,Hispanic,Hispanic,0.6,European,0.3
edgar,Kenya,African,Hispanic,0.6,European,0.3
edgar,Armenia,European,Hispanic,0.6,European,0.3
edgar,Finland,Nordic,Hispanic,0.6,European,0.3
edgar,Portugal,European,Hispanic,0.6,European,0.3
edgar,Uganda,African,Hispanic,0.6,European,0.3
edgar,Mozambique,African,Hispanic,0.6,European,0.3
edgar,Guam,Hispanic,Hispanic,0.6,European,0.3
edgar,Poland,European,Hispanic,0.6,European,0.3
edgar,Estonia,European,Hispanic,0.6,European,0.3
christine,Netherlands,European,European,0.3,Hispanic,0.3
christine,Bahamas,Hispanic,European,0.3,Hispanic,0.3
christine,New Zealand,East Asian,European,0.3,Hispanic,0.3
christine,Mauritius,Muslim,European,0.3,Hispanic,0.3
christine,Sweden,Nordic,European,0.3,Hispanic,0.3
christine,Botswana,African,European,0.3,Hispanic,0.3
christine,Austria,European,European,0.3,Hispanic,0.3
christine,Jamaica,Hispanic,European,0.3,Hispanic,0.3
christine,Ireland,Celtic English,European,0.3,Hispanic,0.3
christine,Philippines,East Asian,European,0.3,Hispanic,0.3
christine,Norway,Nordic,European,0.3,Hispanic,0.3
christine,South Africa,African,European,0.3,Hispanic,0.3
christine,Luxembourg,European,European,0.3,Hispanic,0.3
christine,Cameroon,African,European,0.3,Hispanic,0.3
christine,Switzerland,European,European,0.3,Hispanic,0.3
christine,Sri Lanka,South Asian,European,0.3,Hispanic,0.3
christine,Rwanda,African,European,0.3,Hispanic,0.3
christine,Bermuda,European,European,0.3,Hispanic,0.3
christine,Zimbabwe,European,European,0.3,Hispanic,0.3
cornelia,Netherlands,European,European,0.5,Nordic,0.3
cornelia,Switzerland,European,European,0.5,Nordic,0.3
cornelia,Austria,European,European,0.5,Nordic,0.3
cornelia,Romania,European,European,0.5,Nordic,0.3
cornelia,Aruba,Hispanic,European,0.5,Nordic,0.3
cornelia,Croatia,European,European,0.5,Nordic,0.3
antti,Finland,Nordic,Nordic,0.9,European,0.1
einar,Finland,Nordic,Nordic,0.9,European,0.1
einar,Norway,Nordic,Nordic,0.9,European,0.1
einar,Denmark,Nordic,Nordic,0.9,European,0.1
einar,Sweden,Nordic,Nordic,0.9,European,0.1
einar,Iceland,European,Nordic,0.9,European,0.1
jorma,Finland,Nordic,Nordic,0.7,European,0.2
jyri,Finland,Nordic,Nordic,0.7,European,0.2
minna,Finland,Nordic,Nordic,0.9,African,0.1
minna,Norway,Nordic,Nordic,0.9,African,0.1
pirjo,Finland,Nordic,Nordic,0.8,European,0.1
arvo,Finland,Nordic,Nordic,0.8,European,0.2
arvo,Denmark,Nordic,Nordic,0.8,European,0.2
juhamatti,Finland,Nordic,Nordic,1.0,N/A,-1.0
paavo,Finland,Nordic,Nordic,0.9,African,0.1
timo,Finland,Nordic,Nordic,0.6,African,0.2
timo,Estonia,European,Nordic,0.6,African,0.2
win,Finland,Nordic,East Asian,1.0,N/A,-1.0
win,Myanmar,East Asian,East Asian,1.0,N/A,-1.0
kjetil,Norway,Nordic,Nordic,0.8,European,0.1
ragnhild,Norway,Nordic,Nordic,1.0,N/A,-1.0
ragnhild,Denmark,Nordic,Nordic,1.0,N/A,-1.0
andreea,Romania,European,European,0.7,Greek,0.2
fritz,Norway,Nordic,European,0.7,Hispanic,0.2
fritz,Sweden,Nordic,European,0.7,Hispanic,0.2
fritz,Switzerland,European,European,0.7,Hispanic,0.2
fritz,Denmark,Nordic,European,0.7,Hispanic,0.2
fritz,Belgium,European,European,0.7,Hispanic,0.2
fritz,Austria,European,European,0.7,Hispanic,0.2
fritz,Liechtenstein,European,European,0.7,Hispanic,0.2
fritz,Haiti,Hispanic,European,0.7,Hispanic,0.2
nils,Norway,Nordic,European,0.6,Nordic,0.4
nils,Sweden,Nordic,European,0.6,Nordic,0.4
nils,Jamaica,Hispanic,European,0.6,Nordic,0.4
nils,Denmark,Nordic,European,0.6,Nordic,0.4
nils,Finland,Nordic,European,0.6,Nordic,0.4
nils,Philippines,East Asian,European,0.6,Nordic,0.4
nils,Belgium,European,European,0.6,Nordic,0.4
