LastName,Region,Ethnicity,pred_1,pred_1_score,pred_2,pred_2_score
koutsis,Greece,White,White,1.0,N/A,-1.0
koutsogiannis,Greece,White,White,0.9,Hispanic,0.1
koutsoukis,Greece,White,White,1.0,N/A,-1.0
koutsoupakis,Greece,White,White,1.0,N/A,-1.0
kouvari,Greece,White,White,1.0,N/A,-1.0
kouvelis,Greece,White,White,1.0,N/A,-1.0
kouwenhoven,Netherlands,White,White,0.9,Asian,0.1
kov,Czech Republic,White,White,1.0,N/A,-1.0
kov,Slovakia,White,White,1.0,N/A,-1.0
kova,Serbia,White,White,1.0,N/A,-1.0
kovachev,Bulgaria,White,White,1.0,N/A,-1.0
kovachki,Bulgaria,White,White,0.9,Asian,0.1
kovai,Serbia,White,Asian,0.6,White,0.2
kovcs,Hungary,White,White,0.7,Black,0.2
kovcs,Austria,White,White,0.7,Black,0.2
kovacs,Romania,White,White,0.5,Hispanic,0.4
kovacsics,Hungary,White,White,0.8,Hispanic,0.1
kvg,Hungary,White,White,0.7,Asian,0.1
koval,Ukraine,White,White,1.0,N/A,-1.0
koval,Russia,White,White,1.0,N/A,-1.0
koval,Belarus,White,White,1.0,N/A,-1.0
kovalainen,Finland,White,White,1.0,N/A,-1.0
kovalchuk,Russia,White,White,0.8,Hispanic,0.2
kovalk,Czech Republic,White,White,0.9,Hispanic,0.1
kovalenko,Russia,White,White,0.7,Asian,0.2
kovalenko,Belarus,White,White,0.7,Asian,0.2
kovalenko,Ukraine,White,White,0.7,Asian,0.2
kovalenko,Kazakhstan,White,White,0.7,Asian,0.2
kovalevich,Russia,White,White,1.0,N/A,-1.0
kovalevskiy,Ukraine,White,White,1.0,N/A,-1.0
kovalevsky,Kyrgyzstan,White,White,0.9,Hispanic,0.1
kovalevsky,Belarus,White,White,0.9,Hispanic,0.1
kovaliova,Lithuania,White,White,1.0,N/A,-1.0
kovalov,Czech Republic,White,White,1.0,N/A,-1.0
kovals,Latvia,White,White,1.0,N/A,-1.0
kovalyov,Russia,White,White,1.0,N/A,-1.0
kovalyov,Belarus,White,White,1.0,N/A,-1.0
kovanen,Finland,White,White,1.0,N/A,-1.0
kovak,Czech Republic,White,White,0.4,Hispanic,0.3
kovenko,Ukraine,White,White,1.0,N/A,-1.0
kovin,Russia,White,White,0.9,Hispanic,0.1
kovpan,Russia,White,White,1.0,N/A,-1.0
kovrigin,Russia,White,White,1.0,N/A,-1.0
kovrigina,Russia,White,White,1.0,N/A,-1.0
kovsh,Russia,White,White,1.0,N/A,-1.0
kovshov,Russia,White,White,1.0,N/A,-1.0
kovtsun,Russia,White,White,1.0,N/A,-1.0
kovtun,Russia,White,White,1.0,N/A,-1.0
kovtun,Ukraine,White,White,1.0,N/A,-1.0
kowah,Sierra Leone,Black,White,0.8,Hispanic,0.2
kowal,Poland,White,White,1.0,N/A,-1.0
kowalczewski,Poland,White,White,1.0,N/A,-1.0
kowalczyk,Poland,White,White,1.0,N/A,-1.0
kowalczyk,Argentina,Hispanic,White,1.0,N/A,-1.0
kowalec,Poland,White,White,0.5,Asian,0.2
kowalewski,Poland,White,White,0.7,Hispanic,0.2
kowalska,Poland,White,White,0.5,Hispanic,0.3
kowalski,Poland,White,White,0.6,Hispanic,0.4
kowanz,Austria,White,White,0.9,Hispanic,0.1
kowarski,Poland,White,White,0.6,Asian,0.2
kowata,Japan,Asian,Asian,1.0,N/A,-1.0
koyama,Japan,Asian,Asian,1.0,N/A,-1.0
koyanagi,Japan,Asian,Asian,0.8,White,0.1
koyasu,Japan,Asian,Asian,1.0,N/A,-1.0
koychev,Bulgaria,White,White,0.4,Asian,0.3
kozachenko,Ukraine,White,White,1.0,N/A,-1.0
kozaczuk,Poland,White,White,0.9,Asian,0.1
kozak,Belarus,White,White,0.7,Hispanic,0.2
kozak,Poland,White,White,0.7,Hispanic,0.2
kozakiewicz,Poland,White,White,1.0,N/A,-1.0
kozakova,Russia,White,White,1.0,N/A,-1.0
kozan,Turkey,White,White,1.0,N/A,-1.0
kozanitas,Greece,White,White,0.6,Hispanic,0.2
kozelj,Slovenia,White,White,0.9,Black,0.1
kozera,Poland,White,White,1.0,N/A,-1.0
kozhakhmetova,Kazakhstan,White,White,1.0,N/A,-1.0
kozhenkova,Ukraine,White,White,0.9,Hispanic,0.1
kozhevnikov,Russia,White,White,1.0,N/A,-1.0
kozhevnikova,Kazakhstan,White,White,0.9,Hispanic,0.1
kozhevnikova,Russia,White,White,0.9,Hispanic,0.1
kozhokhina,Ukraine,White,White,1.0,N/A,-1.0
kozich,Ukraine,White,White,1.0,N/A,-1.0
kozicki,Poland,White,White,0.6,Hispanic,0.2
koziejowski,Poland,White,White,1.0,N/A,-1.0
kozik,Poland,White,White,1.0,N/A,-1.0
kozina,Croatia,White,White,1.0,N/A,-1.0
kozlina,Serbia,White,White,0.9,Black,0.1
kozlina,Slovenia,White,White,0.9,Black,0.1
kozlov,Belarus,White,White,0.5,Asian,0.3
kozlov,Russia,White,White,0.5,Asian,0.3
kozlov,Ukraine,White,White,0.5,Asian,0.3
kozlov,Lithuania,White,White,0.5,Asian,0.3
kozlova,Russia,White,White,1.0,N/A,-1.0
kozlovski,Bulgaria,White,White,0.7,Asian,0.2
kozma,Austria,White,White,1.0,N/A,-1.0
kozma,Hungary,White,White,1.0,N/A,-1.0
kozma,Belgium,White,White,1.0,N/A,-1.0
kozmann,Hungary,White,White,0.9,Hispanic,0.1
kozmus,Slovenia,White,White,0.9,Black,0.1
kozovits,Romania,White,Hispanic,0.6,White,0.4
kozu,Japan,Asian,Asian,0.7,White,0.2
kozub,Poland,White,White,1.0,N/A,-1.0
kozubovsky,Belarus,White,White,1.0,N/A,-1.0
kozuka,Japan,Asian,Asian,0.9,White,0.1
kozyr,Belarus,White,White,1.0,N/A,-1.0
kozyrev,Russia,White,White,0.8,Asian,0.1
kozowski,Poland,White,White,1.0,N/A,-1.0
kotan,Poland,White,White,1.0,N/A,-1.0
kpakpo,Ghana,Black,White,0.5,Black,0.3
