FirstName,Region,Ethnicity,pred_1,pred_1_score,pred_2,pred_2_score
gunnar,Denmark,White,White,0.9,Hispanic,0.1
gunnar,Sweden,White,White,0.9,Hispanic,0.1
gunnar,Norway,White,White,0.9,Hispanic,0.1
gunnar,Iceland,White,White,0.9,Hispanic,0.1
gunnar,Finland,White,White,0.9,Hispanic,0.1
gunnar,Brazil,Hispanic,White,0.9,Hispanic,0.1
edgar,Denmark,White,Hispanic,0.5,White,0.4
edgar,Paraguay,Hispanic,Hispanic,0.5,White,0.4
edgar,Guatemala,Hispanic,Hispanic,0.5,White,0.4
edgar,Philippines,Asian,Hispanic,0.5,White,0.4
edgar,Norway,White,Hispanic,0.5,White,0.4
edgar,Switzerland,White,Hispanic,0.5,White,0.4
edgar,Mexico,Hispanic,Hispanic,0.5,White,0.4
edgar,Boliva,Hispanic,Hispanic,0.5,White,0.4
edgar,Venezuela,Hispanic,Hispanic,0.5,White,0.4
edgar,Nicaragua,Hispanic,Hispanic,0.5,White,0.4
edgar,Panama,Hispanic,Hispanic,0.5,White,0.4
edgar,Belgium,White,Hispanic,0.5,White,0.4
edgar,South Africa,Black,Hispanic,0.5,White,0.4
edgar,Puerto Rico,Hispanic,Hispanic,0.5,White,0.4
edgar,Brazil,Hispanic,Hispanic,0.5,White,0.4
edgar,Kenya,Black,Hispanic,0.5,White,0.4
edgar,Armenia,White,Hispanic,0.5,White,0.4
edgar,Finland,White,Hispanic,0.5,White,0.4
edgar,Portugal,White,Hispanic,0.5,White,0.4
edgar,Uganda,Black,Hispanic,0.5,White,0.4
edgar,Mozambique,Black,Hispanic,0.5,White,0.4
edgar,Guam,Hispanic,Hispanic,0.5,White,0.4
edgar,Poland,White,Hispanic,0.5,White,0.4
edgar,Estonia,White,Hispanic,0.5,White,0.4
christine,Netherlands,White,White,0.6,Hispanic,0.2
christine,Bahamas,Hispanic,White,0.6,Hispanic,0.2
christine,New Zealand,Asian,White,0.6,Hispanic,0.2
christine,Mauritius,White,White,0.6,Hispanic,0.2
christine,Sweden,White,White,0.6,Hispanic,0.2
christine,Botswana,Black,White,0.6,Hispanic,0.2
christine,Austria,White,White,0.6,Hispanic,0.2
christine,Jamaica,Hispanic,White,0.6,Hispanic,0.2
christine,Ireland,White,White,0.6,Hispanic,0.2
christine,Philippines,Asian,White,0.6,Hispanic,0.2
christine,Norway,White,White,0.6,Hispanic,0.2
christine,South Africa,Black,White,0.6,Hispanic,0.2
christine,Luxembourg,White,White,0.6,Hispanic,0.2
christine,Cameroon,Black,White,0.6,Hispanic,0.2
christine,Switzerland,White,White,0.6,Hispanic,0.2
christine,Sri Lanka,Asian,White,0.6,Hispanic,0.2
christine,Rwanda,Black,White,0.6,Hispanic,0.2
christine,Bermuda,White,White,0.6,Hispanic,0.2
christine,Zimbabwe,White,White,0.6,Hispanic,0.2
cornelia,Netherlands,White,White,0.7,Hispanic,0.2
cornelia,Switzerland,White,White,0.7,Hispanic,0.2
cornelia,Austria,White,White,0.7,Hispanic,0.2
cornelia,Romania,White,White,0.7,Hispanic,0.2
cornelia,Aruba,Hispanic,White,0.7,Hispanic,0.2
cornelia,Croatia,White,White,0.7,Hispanic,0.2
antti,Finland,White,White,1.0,N/A,-1.0
einar,Finland,White,White,1.0,N/A,-1.0
einar,Norway,White,White,1.0,N/A,-1.0
einar,Denmark,White,White,1.0,N/A,-1.0
einar,Sweden,White,White,1.0,N/A,-1.0
einar,Iceland,White,White,1.0,N/A,-1.0
jorma,Finland,White,White,0.9,Hispanic,0.1
jyri,Finland,White,White,1.0,N/A,-1.0
minna,Finland,White,White,0.9,Hispanic,0.1
minna,Norway,White,White,0.9,Hispanic,0.1
pirjo,Finland,White,White,1.0,N/A,-1.0
arvo,Finland,White,White,1.0,N/A,-1.0
arvo,Denmark,White,White,1.0,N/A,-1.0
juhamatti,Finland,White,White,1.0,N/A,-1.0
paavo,Finland,White,White,1.0,N/A,-1.0
timo,Finland,White,White,0.8,Black,0.2
timo,Estonia,White,White,0.8,Black,0.2
win,Finland,White,Asian,1.0,N/A,-1.0
win,Myanmar,Asian,Asian,1.0,N/A,-1.0
kjetil,Norway,White,White,1.0,N/A,-1.0
ragnhild,Norway,White,White,1.0,N/A,-1.0
ragnhild,Denmark,White,White,1.0,N/A,-1.0
andreea,Romania,White,White,1.0,N/A,-1.0
fritz,Norway,White,White,0.6,Hispanic,0.2
fritz,Sweden,White,White,0.6,Hispanic,0.2
fritz,Switzerland,White,White,0.6,Hispanic,0.2
fritz,Denmark,White,White,0.6,Hispanic,0.2
fritz,Belgium,White,White,0.6,Hispanic,0.2
fritz,Austria,White,White,0.6,Hispanic,0.2
fritz,Liechtenstein,White,White,0.6,Hispanic,0.2
fritz,Haiti,Hispanic,White,0.6,Hispanic,0.2
nils,Norway,White,White,0.8,Hispanic,0.1
nils,Sweden,White,White,0.8,Hispanic,0.1
nils,Jamaica,Hispanic,White,0.8,Hispanic,0.1
nils,Denmark,White,White,0.8,Hispanic,0.1
nils,Finland,White,White,0.8,Hispanic,0.1
nils,Philippines,Asian,White,0.8,Hispanic,0.1
nils,Belgium,White,White,0.8,Hispanic,0.1
nils,Switzerland,White,White,0.8,Hispanic,0.1
nils,Chile,Hispanic,White,0.8,Hispanic,0.1
nils,Netherlands,White,White,0.8,Hispanic,0.1
alf,Norway,White,White,1.0,N/A,-1.0
alf,Sweden,White,White,1.0,N/A,-1.0
alf,Denmark,White,White,1.0,N/A,-1.0
alf,Finland,White,White,1.0,N/A,-1.0
agnes,Norway,White,White,0.6,Black,0.4
agnes,Netherlands,White,White,0.6,Black,0.4
agnes,Malawi,Black,White,0.6,Black,0.4
agnes,Belgium,White,White,0.6,Black,0.4
agnes,Grenada,Hispanic,White,0.6,Black,0.4
agnes,Nigeria,Black,White,0.6,Black,0.4
agnes,Namibia,Black,White,0.6,Black,0.4
johan,Netherlands,White,White,0.6,Hispanic,0.3
johan,Sweden,White,White,0.6,Hispanic,0.3
johan,Denmark,White,White,0.6,Hispanic,0.3
johan,Norway,White,White,0.6,Hispanic,0.3
johan,Belgium,White,White,0.6,Hispanic,0.3
johan,Colombia,Hispanic,White,0.6,Hispanic,0.3
johan,South Africa,Black,White,0.6,Hispanic,0.3
johan,Zimbabwe,White,White,0.6,Hispanic,0.3
johan,Finland,White,White,0.6,Hispanic,0.3
johan,Russia,White,White,0.6,Hispanic,0.3
johan,Czech Republic,White,White,0.6,Hispanic,0.3
johan,Estonia,White,White,0.6,Hispanic,0.3
willemien,Netherlands,White,White,1.0,N/A,-1.0
pepijn,Netherlands,White,White,0.5,Asian,0.3
evald,Estonia,White,White,1.0,N/A,-1.0
olav,Norway,White,White,1.0,N/A,-1.0
mika,Finland,White,Asian,0.5,White,0.4
mika,Sweden,White,Asian,0.5,White,0.4
mika,Japan,Asian,Asian,0.5,White,0.4
dagfinn,Norway,White,White,1.0,N/A,-1.0
stefan,Netherlands,White,White,0.8,Hispanic,0.1
stefan,Bulgaria,White,White,0.8,Hispanic,0.1
stefan,Poland,White,White,0.8,Hispanic,0.1
stefan,Switzerland,White,White,0.8,Hispanic,0.1
stefan,Cayman Islands,Hispanic,White,0.8,Hispanic,0.1
stefan,Serbia,White,White,0.8,Hispanic,0.1
stefan,South Africa,Black,White,0.8,Hispanic,0.1
stefan,Austria,White,White,0.8,Hispanic,0.1
stefan,Sweden,White,White,0.8,Hispanic,0.1
stefan,Belgium,White,White,0.8,Hispanic,0.1
stefan,Denmark,White,White,0.8,Hispanic,0.1
stefan,Russia,White,White,0.8,Hispanic,0.1
stefan,Republic of Congo,Black,White,0.8,Hispanic,0.1
ann,Norway,White,White,0.7,Hispanic,0.2
ann,Sweden,White,White,0.7,Hispanic,0.2
ann,New Zealand,Asian,White,0.7,Hispanic,0.2
ann,South Africa,Black,White,0.7,Hispanic,0.2
ann,Belgium,White,White,0.7,Hispanic,0.2
ann,Mexico,Hispanic,White,0.7,Hispanic,0.2
ann,Denmark,White,White,0.7,Hispanic,0.2
ann,Puerto Rico,Hispanic,White,0.7,Hispanic,0.2
ann,Ireland,White,White,0.7,Hispanic,0.2
ann,Papua New Guinea,Black,White,0.7,Hispanic,0.2
karl,Norway,White,White,0.8,Hispanic,0.2
karl,Finland,White,White,0.8,Hispanic,0.2
karl,Sweden,White,White,0.8,Hispanic,0.2
karl,Austria,White,White,0.8,Hispanic,0.2
karl,Denmark,White,White,0.8,Hispanic,0.2
karl,Switzerland,White,White,0.8,Hispanic,0.2
karl,Romania,White,White,0.8,Hispanic,0.2
karl,Antigua,Hispanic,White,0.8,Hispanic,0.2
karl,Estonia,White,White,0.8,Hispanic,0.2
karl,Czech Republic,White,White,0.8,Hispanic,0.2
karl,Russia,White,White,0.8,Hispanic,0.2
karl,Jamaica,Hispanic,White,0.8,Hispanic,0.2
karl,South Africa,Black,White,0.8,Hispanic,0.2
karl,Iceland,White,White,0.8,Hispanic,0.2
lars,Norway,White,White,0.9,Hispanic,0.1
lars,Sweden,White,White,0.9,Hispanic,0.1
lars,Denmark,White,White,0.9,Hispanic,0.1
lars,Brazil,Hispanic,White,0.9,Hispanic,0.1
lars,Netherlands,White,White,0.9,Hispanic,0.1
lars,Finland,White,White,0.9,Hispanic,0.1
lars,Switzerland,White,White,0.9,Hispanic,0.1
roald,Norway,White,White,0.9,Asian,0.1
roald,Netherlands,White,White,0.9,Asian,0.1
rolf,Norway,White,White,0.8,Hispanic,0.1
rolf,Finland,White,White,0.8,Hispanic,0.1
rolf,Sweden,White,White,0.8,Hispanic,0.1
rolf,Switzerland,White,White,0.8,Hispanic,0.1
rolf,Brazil,Hispanic,White,0.8,Hispanic,0.1
rolf,Chile,Hispanic,White,0.8,Hispanic,0.1
rolf,Austria,White,White,0.8,Hispanic,0.1
rolf,Israel,White,White,0.8,Hispanic,0.1
rolf,Denmark,White,White,0.8,Hispanic,0.1
rolf,South Africa,Black,White,0.8,Hispanic,0.1
thomas,Norway,White,Asian,0.4,White,0.4
thomas,Sweden,White,Asian,0.4,White,0.4
thomas,Denmark,White,Asian,0.4,White,0.4
thomas,Madagascar,Black,Asian,0.4,White,0.4
thomas,New Zealand,Asian,Asian,0.4,White,0.4
thomas,Ghana,Black,Asian,0.4,White,0.4
thomas,Uganda,Black,Asian,0.4,White,0.4
thomas,Austria,White,Asian,0.4,White,0.4
thomas,Ireland,White,Asian,0.4,White,0.4
thomas,Liechtenstein,White,Asian,0.4,White,0.4
thomas,Argentina,Hispanic,Asian,0.4,White,0.4
thomas,Greece,White,Asian,0.4,White,0.4
thomas,Netherlands,White,Asian,0.4,White,0.4
thomas,Switzerland,White,Asian,0.4,White,0.4
thomas,Chile,Hispanic,Asian,0.4,White,0.4
thomas,Belgium,White,Asian,0.4,White,0.4
thomas,Zambia,Black,Asian,0.4,White,0.4
thomas,Saint Vincent,Hispanic,Asian,0.4,White,0.4
thomas,Cameroon,Black,Asian,0.4,White,0.4
thomas,Sierra Leone,Black,Asian,0.4,White,0.4
thomas,Liberia,Black,Asian,0.4,White,0.4
thomas,South Africa,Black,Asian,0.4,White,0.4
thomas,Brazil,Hispanic,Asian,0.4,White,0.4
thomas,Finland,White,Asian,0.4,White,0.4
thomas,Malaysia,Asian,Asian,0.4,White,0.4
thomas,Croatia,White,Asian,0.4,White,0.4
thomas,Kenya,Black,Asian,0.4,White,0.4
thomas,Bahamas,Hispanic,Asian,0.4,White,0.4
thomas,Nigeria,Black,Asian,0.4,White,0.4
thomas,Luxembourg,White,Asian,0.4,White,0.4
thomas,Fiji,Asian,Asian,0.4,White,0.4
thomas,Puerto Rico,Hispanic,Asian,0.4,White,0.4
morten,Norway,White,White,0.9,Hispanic,0.1
morten,Denmark,White,White,0.9,Hispanic,0.1
meelis,Estonia,White,White,1.0,N/A,-1.0
hakon,Norway,White,White,1.0,N/A,-1.0
hakon,Sweden,White,White,1.0,N/A,-1.0
hans,Norway,White,White,0.7,Hispanic,0.3
hans,Switzerland,White,White,0.7,Hispanic,0.3
hans,Sweden,White,White,0.7,Hispanic,0.3
hans,Denmark,White,White,0.7,Hispanic,0.3
hans,New Zealand,Asian,White,0.7,Hispanic,0.3
hans,Austria,White,White,0.7,Hispanic,0.3
hans,Netherlands,White,White,0.7,Hispanic,0.3
hans,Liechtenstein,White,White,0.7,Hispanic,0.3
hans,Finland,White,White,0.7,Hispanic,0.3
hans,Brazil,Hispanic,White,0.7,Hispanic,0.3
hans,Romania,White,White,0.7,Hispanic,0.3
hans,Tonga,Asian,White,0.7,Hispanic,0.3
hans,Chile,Hispanic,White,0.7,Hispanic,0.3
hans,Czech Republic,White,White,0.7,Hispanic,0.3
hans,Serbia,White,White,0.7,Hispanic,0.3
hans,Belgium,White,White,0.7,Hispanic,0.3
